Word,Count,Length
rabbit-hole,4,11
alice,397,5
tired,7,5
sitting,10,7
sister,9,6
bank,3,4
peeped,3,6
book,7,4
reading,3,7
pictures,4,8
conversations,2,13
mind,11,4
hot,5,3
day,25,3
feel,8,4
sleepy,5,6
stupid,6,6
pleasure,2,8
daisy-chain,1,11
worth,4,5
trouble,6,7
picking,2,7
daisies,1,7
suddenly,13,8
white,30,5
rabbit,47,6
pink,1,4
eyes,29,4
close,13,5
remarkable,2,10
hear,14,4
late,6,4
occurred,2,8
wondered,1,8
time,68,4
natural,4,7
watch,8,5
waistcoat-pocket,2,16
looked,45,6
hurried,11,7
started,2,7
feet,19,4
flashed,1,7
burning,1,7
curiosity,5,9
field,1,5
fortunately,1,11
pop,1,3
hedge,2,5
moment,31,6
straight,2,8
tunnel,1,6
dipped,2,6
stopping,1,8
falling,2,7
deep,7,4
fell,6,4
slowly,8,6
plenty,2,6
happen,8,6
coming,9,6
dark,3,4
noticed,8,7
filled,3,6
cupboards,2,9
book-shelves,1,12
maps,1,4
hung,1,4
pegs,1,4
jar,2,3
shelves,1,7
passed,5,6
labelled,1,8
orange,1,6
marmalade,1,9
disappointment,1,14
drop,1,4
fear,4,4
killing,1,7
managed,4,7
fall,7,4
tumbling,2,8
stairs,3,6
brave,1,5
house,18,5
true,4,4
miles,3,5
fallen,4,6
aloud,5,5
centre,1,6
earth,4,5
learnt,2,6
sort,20,4
lessons,10,7
schoolroom,1,10
opportunity,8,11
knowledge,3,9
listen,7,6
practice,1,8
distance,8,8
latitude,2,8
longitude,2,9
idea,15,4
nice,6,4
grand,3,5
presently,2,9
funny,3,5
people,13,6
walk,5,4
heads,10,5
downward,1,8
antipathies,1,11
glad,11,4
listening,3,9
sound,4,5
word,10,4
country,1,7
maam,1,4
zealand,1,7
australia,1,9
curtsey,1,7
spoke,17,5
fancy,7,5
curtseying,1,10
air,14,3
manage,7,6
ignorant,1,8
girl,4,4
written,6,7
talking,17,7
dinahll,2,7
to-night,1,8
dinah,12,5
cat,37,3
hope,3,4
remember,14,8
saucer,1,6
milk,1,4
tea-time,2,8
mice,4,4
afraid,12,6
catch,4,5
bat,3,3
mouse,43,5
cats,13,4
eat,18,3
bats,4,4
dreamy,1,6
answer,9,6
question,17,8
matter,9,6
dozing,1,6
begun,7,5
dream,7,5
walking,5,7
hand,20,4
earnestly,2,9
truth,1,5
thump,2,5
heap,1,4
sticks,1,6
dry,8,3
leaves,6,6
bit,16,3
hurt,3,4
jumped,6,6
overhead,1,8
passage,4,7
sight,10,5
hurrying,1,8
lost,3,4
wind,2,4
corner,4,6
ears,5,4
whiskers,3,8
hall,9,4
lit,1,3
row,2,3
lamps,1,5
hanging,3,7
roof,6,4
doors,2,5
locked,1,6
door,30,4
walked,10,6
sadly,5,5
middle,7,6
wondering,7,9
three-legged,2,12
table,18,5
solid,1,5
glass,9,5
tiny,4,4
golden,7,6
key,9,3
belong,1,6
alas,4,4
locks,2,5
rate,9,4
curtain,1,7
inches,6,6
lock,1,4
delight,3,7
fitted,1,6
led,4,3
larger,7,6
rat-hole,1,8
knelt,1,5
loveliest,1,9
garden,16,6
longed,2,6
wander,1,6
beds,1,4
bright,7,6
flowers,2,7
cool,2,4
fountains,2,9
head,50,4
doorway,1,7
poor,27,4
shoulders,4,9
shut,5,4
telescope,3,9
out-of-the-way,3,14
happened,7,8
impossible,3,10
waiting,9,7
hoping,3,6
rules,3,5
shutting,2,8
telescopes,1,10
bottle,10,6
neck,7,4
paper,4,5
label,2,5
drink,7,5
beautifully,2,11
printed,1,7
letters,1,7
wise,2,4
hurry,11,5
marked,6,6
poison,3,6
read,11,4
histories,1,9
children,10,8
burnt,1,5
eaten,1,5
wild,2,4
beasts,2,6
unpleasant,2,10
simple,5,6
friends,2,7
taught,4,6
red-hot,1,7
poker,1,5
burn,2,4
hold,10,4
cut,5,3
finger,5,6
deeply,4,6
knife,2,5
bleeds,1,6
forgotten,6,9
disagree,1,8
sooner,2,6
ventured,4,8
taste,2,5
finding,3,7
mixed,2,5
flavour,1,7
cherry-tart,1,11
custard,1,7
pine-apple,1,10
roast,1,5
turkey,1,6
toffee,1,6
buttered,1,8
toast,1,5
finished,12,8
curious,19,7
feeling,7,7
brightened,2,10
size,13,4
lovely,2,6
waited,11,6
minutes,11,7
shrink,1,6
nervous,5,7
altogether,5,10
candle,3,6
flame,1,5
blown,1,5
decided,3,7
reach,4,5
plainly,1,7
climb,1,5
legs,3,4
slippery,1,8
sat,17,3
cried,20,5
crying,2,6
sharply,4,7
advise,1,6
leave,9,5
minute,21,6
advice,2,6
seldom,1,6
scolded,1,7
severely,4,8
bring,3,5
tears,11,5
remembered,5,10
box,4,3
cheated,1,7
game,13,4
croquet,6,7
playing,2,7
child,10,5
fond,4,4
pretending,1,10
pretend,1,7
