daisy-chain:        0.0142% 		 1 / 7042
daisies:            0.0142% 		 1 / 7042
pink:               0.0142% 		 1 / 7042
wondered:           0.0142% 		 1 / 7042
flashed:            0.0142% 		 1 / 7042
burning:            0.0142% 		 1 / 7042
field:              0.0142% 		 1 / 7042
fortunately:        0.0142% 		 1 / 7042
pop:                0.0142% 		 1 / 7042
tunnel:             0.0142% 		 1 / 7042
stopping:           0.0142% 		 1 / 7042
book-shelves:       0.0142% 		 1 / 7042
maps:               0.0142% 		 1 / 7042
hung:               0.0142% 		 1 / 7042
pegs:               0.0142% 		 1 / 7042
shelves:            0.0142% 		 1 / 7042
labelled:           0.0142% 		 1 / 7042
orange:             0.0142% 		 1 / 7042
marmalade:          0.0142% 		 1 / 7042
disappointment:     0.0142% 		 1 / 7042
drop:               0.0142% 		 1 / 7042
killing:            0.0142% 		 1 / 7042
brave:              0.0142% 		 1 / 7042
centre:             0.0142% 		 1 / 7042
schoolroom:         0.0142% 		 1 / 7042
practice:           0.0142% 		 1 / 7042
downward:           0.0142% 		 1 / 7042
antipathies:        0.0142% 		 1 / 7042
country:            0.0142% 		 1 / 7042
maam:               0.0142% 		 1 / 7042
zealand:            0.0142% 		 1 / 7042
australia:          0.0142% 		 1 / 7042
curtsey:            0.0142% 		 1 / 7042
curtseying:         0.0142% 		 1 / 7042
ignorant:           0.0142% 		 1 / 7042
to-night:           0.0142% 		 1 / 7042
saucer:             0.0142% 		 1 / 7042
milk:               0.0142% 		 1 / 7042
dreamy:             0.0142% 		 1 / 7042
dozing:             0.0142% 		 1 / 7042
truth:              0.0142% 		 1 / 7042
heap:               0.0142% 		 1 / 7042
sticks:             0.0142% 		 1 / 7042
overhead:           0.0142% 		 1 / 7042
hurrying:           0.0142% 		 1 / 7042
lit:                0.0142% 		 1 / 7042
lamps:              0.0142% 		 1 / 7042
locked:             0.0142% 		 1 / 7042
solid:              0.0142% 		 1 / 7042
belong:             0.0142% 		 1 / 7042
curtain:            0.0142% 		 1 / 7042
lock:               0.0142% 		 1 / 7042
fitted:             0.0142% 		 1 / 7042
rat-hole:           0.0142% 		 1 / 7042
knelt:              0.0142% 		 1 / 7042
loveliest:          0.0142% 		 1 / 7042
wander:             0.0142% 		 1 / 7042
beds:               0.0142% 		 1 / 7042
doorway:            0.0142% 		 1 / 7042
telescopes:         0.0142% 		 1 / 7042
printed:            0.0142% 		 1 / 7042
letters:            0.0142% 		 1 / 7042
histories:          0.0142% 		 1 / 7042
burnt:              0.0142% 		 1 / 7042
eaten:              0.0142% 		 1 / 7042
red-hot:            0.0142% 		 1 / 7042
poker:              0.0142% 		 1 / 7042
bleeds:             0.0142% 		 1 / 7042
disagree:           0.0142% 		 1 / 7042
flavour:            0.0142% 		 1 / 7042
cherry-tart:        0.0142% 		 1 / 7042
custard:            0.0142% 		 1 / 7042
pine-apple:         0.0142% 		 1 / 7042
roast:              0.0142% 		 1 / 7042
turkey:             0.0142% 		 1 / 7042
toffee:             0.0142% 		 1 / 7042
buttered:           0.0142% 		 1 / 7042
toast:              0.0142% 		 1 / 7042
shrink:             0.0142% 		 1 / 7042
flame:              0.0142% 		 1 / 7042
blown:              0.0142% 		 1 / 7042
plainly:            0.0142% 		 1 / 7042
climb:              0.0142% 		 1 / 7042
slippery:           0.0142% 		 1 / 7042
advise:             0.0142% 		 1 / 7042
seldom:             0.0142% 		 1 / 7042
scolded:            0.0142% 		 1 / 7042
cheated:            0.0142% 		 1 / 7042
pretending:         0.0142% 		 1 / 7042
pretend:            0.0142% 		 1 / 7042
respectable:        0.0142% 		 1 / 7042
currants:           0.0142% 		 1 / 7042
creep:              0.0142% 		 1 / 7042
ate:                0.0142% 		 1 / 7042
eats:               0.0142% 		 1 / 7042
common:             0.0142% 		 1 / 7042
largest:            0.0142% 		 1 / 7042
good-bye:           0.0142% 		 1 / 7042
stockings:          0.0142% 		 1 / 7042
christmas:          0.0142% 		 1 / 7042
planning:           0.0142% 		 1 / 7042
carrier:            0.0142% 		 1 / 7042
odd:                0.0142% 		 1 / 7042
esq:                0.0142% 		 1 / 7042
hearthrug:          0.0142% 		 1 / 7042
fender:             0.0142% 		 1 / 7042
hopeless:           0.0142% 		 1 / 7042
shedding:           0.0142% 		 1 / 7042
gallons:            0.0142% 		 1 / 7042
reaching:           0.0142% 		 1 / 7042
dried:              0.0142% 		 1 / 7042
returning:          0.0142% 		 1 / 7042
splendidly:         0.0142% 		 1 / 7042
dressed:            0.0142% 		 1 / 7042
desperate:          0.0142% 		 1 / 7042
skurried:           0.0142% 		 1 / 7042
darkness:           0.0142% 		 1 / 7042
fanning:            0.0142% 		 1 / 7042
puzzle:             0.0142% 		 1 / 7042
ada:                0.0142% 		 1 / 7042
thirteen:           0.0142% 		 1 / 7042
multiplication:     0.0142% 		 1 / 7042
signify:            0.0142% 		 1 / 7042
geography:          0.0142% 		 1 / 7042
london:             0.0142% 		 1 / 7042
crocodile:          0.0142% 		 1 / 7042
improve:            0.0142% 		 1 / 7042
shining:            0.0142% 		 1 / 7042
pour:               0.0142% 		 1 / 7042
waters:             0.0142% 		 1 / 7042
nile:               0.0142% 		 1 / 7042
scale:              0.0142% 		 1 / 7042
cheerfully:         0.0142% 		 1 / 7042
fishes:             0.0142% 		 1 / 7042
poky:               0.0142% 		 1 / 7042
toys:               0.0142% 		 1 / 7042
burst:              0.0142% 		 1 / 7042
measure:            0.0142% 		 1 / 7042
avoid:              0.0142% 		 1 / 7042
existence:          0.0142% 		 1 / 7042
speed:              0.0142% 		 1 / 7042
splash:             0.0142% 		 1 / 7042
seaside:            0.0142% 		 1 / 7042
coast:              0.0142% 		 1 / 7042
bathing:            0.0142% 		 1 / 7042
machines:           0.0142% 		 1 / 7042
sand:               0.0142% 		 1 / 7042
wooden:             0.0142% 		 1 / 7042
spades:             0.0142% 		 1 / 7042
lodging:            0.0142% 		 1 / 7042
houses:             0.0142% 		 1 / 7042
station:            0.0142% 		 1 / 7042
wept:               0.0142% 		 1 / 7042
punished:           0.0142% 		 1 / 7042
drowned:            0.0142% 		 1 / 7042
walrus:             0.0142% 		 1 / 7042
hippopotamus:       0.0142% 		 1 / 7042
harm:               0.0142% 		 1 / 7042
brother:            0.0142% 		 1 / 7042
latin:              0.0142% 		 1 / 7042
grammar:            0.0142% 		 1 / 7042
inquisitively:      0.0142% 		 1 / 7042
daresay:            0.0142% 		 1 / 7042
ou:                 0.0142% 		 1 / 7042
est:                0.0142% 		 1 / 7042
chatte:             0.0142% 		 1 / 7042
lesson-book:        0.0142% 		 1 / 7042
leap:               0.0142% 		 1 / 7042
quiver:             0.0142% 		 1 / 7042
passionate:         0.0142% 		 1 / 7042
soothing:           0.0142% 		 1 / 7042
lazily:             0.0142% 		 1 / 7042
sits:               0.0142% 		 1 / 7042
licking:            0.0142% 		 1 / 7042
soft:               0.0142% 		 1 / 7042
bristling:          0.0142% 		 1 / 7042
family:             0.0142% 		 1 / 7042
hated:              0.0142% 		 1 / 7042
nasty:              0.0142% 		 1 / 7042
vulgar:             0.0142% 		 1 / 7042
bright-eyed:        0.0142% 		 1 / 7042
terrier:            0.0142% 		 1 / 7042
curly:              0.0142% 		 1 / 7042
farmer:             0.0142% 		 1 / 7042
pounds:             0.0142% 		 1 / 7042
kills:              0.0142% 		 1 / 7042
rats:               0.0142% 		 1 / 7042
commotion:          0.0142% 		 1 / 7042
softly:             0.0142% 		 1 / 7042
queer-looking:      0.0142% 		 1 / 7042
draggled:           0.0142% 		 1 / 7042
feathers:           0.0142% 		 1 / 7042
clinging:           0.0142% 		 1 / 7042
dripping:           0.0142% 		 1 / 7042
cross:              0.0142% 		 1 / 7042
consultation:       0.0142% 		 1 / 7042
familiarly:         0.0142% 		 1 / 7042
positively:         0.0142% 		 1 / 7042
refused:            0.0142% 		 1 / 7042
fixed:              0.0142% 		 1 / 7042
cold:               0.0142% 		 1 / 7042
ahem:               0.0142% 		 1 / 7042
driest:             0.0142% 		 1 / 7042
favoured:           0.0142% 		 1 / 7042
pope:               0.0142% 		 1 / 7042
submitted:          0.0142% 		 1 / 7042
leaders:            0.0142% 		 1 / 7042
accustomed:         0.0142% 		 1 / 7042
usurpation:         0.0142% 		 1 / 7042
conquest:           0.0142% 		 1 / 7042
shiver:             0.0142% 		 1 / 7042
declared:           0.0142% 		 1 / 7042
stigand:            0.0142% 		 1 / 7042
patriotic:          0.0142% 		 1 / 7042
canterbury:         0.0142% 		 1 / 7042
crossly:            0.0142% 		 1 / 7042
worm:               0.0142% 		 1 / 7042
edgar:              0.0142% 		 1 / 7042
atheling:           0.0142% 		 1 / 7042
